month,loan_balances,deposit_balances,net_interest_income,provisions,fraud_aml_alerts
2024-01-31,92252387.61588448,81123224.55930237,228548.9069924274,79955.96795078706,134
2024-02-29,92397529.47248563,81149297.2255495,281781.672085446,111479.32277802922,110
2024-03-31,93035467.98966484,79378245.18212718,273660.0504058937,65128.86105094179,79
2024-04-30,94134004.67563918,86081357.37055145,234514.92043454398,95810.21102275918,103
2024-05-31,94587480.52833907,78721914.14320871,287795.71870555496,88421.37425277698,119
2024-06-30,95308094.98654564,74813227.1960287,266952.99225616496,125448.79403374152,79
2024-07-31,96203679.21127857,81711334.85787575,262345.7618176891,101446.68908961245,83
2024-08-31,97202053.95619392,78573688.06958364,281716.4283730927,139623.83452517822,139
2024-09-30,97172319.82262371,77485820.62756896,256274.26023044647,133350.13666427045,98
2024-10-31,98027053.09843434,90081866.54093963,241239.1279843547,83783.5962834332,78
2024-11-30,98565491.13994175,81827205.037354,254956.63966202573,141666.85592227886,116
2024-12-31,98724561.83605541,86572306.13616784,251290.78357803784,115576.97640747574,77
2025-01-31,98834099.07021102,80000745.55827753,270117.6504246723,78447.68175770064,132
2025-02-28,99236409.10407549,77592932.30185458,279050.7322132121,79079.10751988759,96
2025-03-31,99140598.09125756,90859041.7851626,257421.01201182086,105084.92705504174,132
2025-04-30,98742311.21478659,87018077.93985496,299307.6634123694,106691.31688650927,86
2025-05-31,99333753.51400785,87314509.34584996,267263.856339077,147370.4180344645,85
2025-06-30,100387190.09987538,89804122.0233442,290151.06174975494,85186.35361156575,126
2025-07-31,100780454.4893637,83111447.37215863,297769.0323118944,82524.86128531072,142
2025-08-31,101811484.97228579,85631905.26035038,307309.2580312104,128162.03859377255,69
2025-09-30,102101507.3300784,84998625.78261508,258074.63408251794,118094.83554616361,130
2025-10-31,102004523.50551021,92048928.27347638,270054.6267280805,82702.37879194011,129
2025-11-30,101565073.57978489,83713811.6925044,310871.4573225603,95442.2943463804,115
2025-12-31,101581910.13016033,84077084.71417674,301140.74546754395,89636.27321498946,111
2026-01-31,103076543.68217151,91233265.54664104,290004.9338796757,113956.06923094294,96
2026-02-28,103478089.71198209,89581158.13189995,323839.45482628274,89152.37634298204,129
2026-03-31,102847439.0500678,87855839.45708357,267147.7229292301,131838.56948407882,113
2026-04-30,103396611.73039669,82693909.57827647,285181.20923618326,113458.97680014781,72
2026-05-31,103695106.5037821,86442703.297742,289401.0619456849,78921.04787500149,113
2026-06-30,103936485.11147164,94155895.09690711,263734.01628356177,113817.07685414897,98
