loan_id,customer_id,product_type,loan_amount,outstanding_balance,ltv,days_past_due,default_flag,pd,lgd,ead,last_update_days
L00000,C00000,credit card,39962.66,28032.84,0.333,0,False,0.04068,0.72,34594.24,48
L00001,C00001,mortgage,113695.11,66623.4,0.482,0,False,0.0151,0.22,67564.84,4
L00002,C00002,mortgage,31280.4,13798.84,0.739,0,False,0.01741,0.22,14148.47,16
L00003,C00003,credit card,20846.04,9525.13,1.063,0,False,0.04278,0.8609,15751.63,44
L00004,C00004,personal loan,91067.5,76115.22,0.837,5,False,0.07697,0.6194,77311.4,53
L00005,C00005,mortgage,29319.6,20159.83,0.856,15,False,0.06313,0.2679,20343.03,7
L00006,C00006,credit card,57416.25,25986.63,0.728,0,False,0.05641,0.72,43272.93,71
L00007,C00007,mortgage,16937.82,8322.21,0.272,95,True,0.41525,0.22,8494.52,46
L00008,C00008,personal loan,16467.93,6046.08,0.711,0,False,0.02868,0.58,6879.83,5
L00009,C00009,personal loan,30073.68,13495.69,0.608,5,False,0.14452,0.58,14821.93,16
L00010,C00010,SME loan,240820.4,107185.58,0.319,5,False,0.03821,0.48,140594.28,25
L00011,C00011,SME loan,68305.82,42940.27,0.759,0,False,0.01899,0.4838,49281.66,18
L00012,C00012,mortgage,39686.06,33609.97,0.736,0,False,0.04528,0.22,33731.49,45
L00013,C00013,mortgage,36100.6,34801.72,0.622,0,False,0.0449,0.22,34827.7,60
L00014,C00014,personal loan,57596.93,47281.18,0.682,0,False,0.04665,0.58,48106.44,4
L00015,C00015,mortgage,53779.99,30731.53,0.853,0,False,0.03139,0.2664,31192.5,22
L00016,C00016,mortgage,81875.23,27095.33,0.35,0,False,0.03518,0.22,28190.93,56
L00017,C00017,SME loan,212661.85,179461.26,0.648,15,False,0.06618,0.48,187761.4,14
L00018,C00018,credit card,38530.76,9499.92,0.435,31,False,0.12298,0.72,25466.88,7
L00019,C00019,personal loan,331512.21,78361.4,0.778,0,False,0.06368,0.5926,98613.46,68
