transaction_id,customer_id,amount,merchant_category,hour,country_risk,device_mismatch,velocity_24h,round_amount,rapid_in_out,fraud_label
T000000,C00588,361.61,electronics,14,standard,False,1,False,False,False
T000001,C00143,82.48,electronics,19,standard,False,1,False,False,False
T000002,C00362,105.58,utilities,10,standard,False,1,False,False,False
T000003,C00020,257.27,utilities,6,standard,False,4,False,False,False
T000004,C00423,182.49,travel,11,standard,False,1,False,False,False
T000005,C00501,139.33,travel,9,standard,False,1,False,False,False
T000006,C00433,48.57,crypto,9,standard,False,5,False,False,False
T000007,C00230,24.03,cash,15,standard,False,0,False,False,False
T000008,C00667,111.47,utilities,16,standard,False,0,False,False,False
T000009,C00335,41.97,travel,1,standard,False,1,False,False,False
T000010,C00009,183.09,crypto,22,standard,False,2,False,False,False
T000011,C00493,92.98,electronics,16,standard,False,3,False,False,False
T000012,C00504,32.47,cash,15,standard,False,2,False,False,False
T000013,C00268,98.94,electronics,5,standard,False,3,False,False,False
T000014,C00023,160.79,groceries,19,standard,True,3,False,False,False
T000015,C00445,89.59,crypto,13,standard,False,1,False,False,False
T000016,C00199,31.16,groceries,9,high,False,1,False,False,False
T000017,C00384,98.35,cash,4,standard,False,0,False,True,False
T000018,C00381,109.15,utilities,0,standard,False,3,False,False,False
T000019,C00238,182.49,crypto,12,standard,False,1,False,False,False
T000020,C00420,163.08,electronics,5,standard,False,2,False,False,False
T000021,C00447,27.14,cash,2,standard,False,1,False,False,False
T000022,C00711,42.63,travel,2,standard,True,4,False,False,True
T000023,C00398,143.49,crypto,17,standard,False,3,False,False,False
T000024,C00216,11.39,travel,14,standard,True,1,False,False,False
T000025,C00248,173.29,crypto,12,standard,False,0,False,False,False
T000026,C00743,29.27,crypto,5,standard,False,1,False,False,False
T000027,C00262,46.34,electronics,11,standard,False,4,False,False,False
T000028,C00587,360.57,crypto,19,high,False,0,False,False,False
T000029,C00370,68.65,travel,10,standard,False,3,False,False,False
T000030,C00747,52.88,utilities,18,high,False,3,False,False,False
T000031,C00632,100.44,cash,22,standard,False,0,False,False,False
T000032,C00730,66.46,travel,21,standard,False,1,False,False,False
T000033,C00383,37.02,cash,1,standard,False,1,False,False,False
T000034,C00345,97.01,electronics,23,high,False,1,False,False,False
T000035,C00197,773.18,travel,0,standard,False,2,False,False,False
T000036,C00345,202.67,utilities,21,standard,False,4,False,False,False
T000037,C00654,119.31,electronics,16,standard,False,0,False,False,False
T000038,C00067,97.81,electronics,10,standard,False,1,False,False,False
T000039,C00027,177.25,cash,22,standard,False,1,False,False,False
T000040,C00292,146.42,cash,5,standard,False,0,False,False,False
T000041,C00005,28.72,travel,0,high,False,2,False,False,False
T000042,C00316,128.74,cash,7,standard,False,2,False,False,False
T000043,C00134,78.06,travel,8,standard,False,2,False,False,False
T000044,C00383,486.6,crypto,1,standard,False,3,False,False,False
T000045,C00714,58.43,travel,9,standard,False,1,False,False,False
T000046,C00268,292.05,travel,21,standard,True,2,False,False,False
T000047,C00329,20.67,travel,13,standard,False,3,False,True,False
T000048,C00345,103.98,travel,7,standard,False,2,False,False,False
T000049,C00579,33.7,electronics,5,standard,False,0,False,False,False
T000050,C00430,28.08,travel,16,standard,False,3,False,False,False
T000051,C00330,174.84,travel,13,standard,False,1,False,True,False
T000052,C00117,24.99,cash,9,standard,False,4,False,False,False
T000053,C00642,63.31,crypto,20,standard,False,3,False,False,False
T000054,C00632,34.05,travel,8,standard,True,2,False,False,False
T000055,C00169,113.92,travel,9,high,False,2,False,False,False
T000056,C00560,100.02,electronics,19,standard,False,2,False,False,False
T000057,C00106,6.81,utilities,3,standard,False,2,False,False,True
T000058,C00041,159.4,electronics,14,standard,False,1,False,False,False
T000059,C00725,37.7,travel,17,standard,False,2,False,False,False
